Date,Price,Open,High,Low,Change
19-Aug-16,1.3075,1.3173,1.3186,1.3022,-0.71%
18-Aug-16,1.3168,1.3043,1.3174,1.3033,0.96%
17-Aug-16,1.3043,1.3047,1.3089,1.298,-0.02%
16-Aug-16,1.3045,1.2878,1.3052,1.2873,1.28%
15-Aug-16,1.288,1.292,1.2945,1.2864,-0.33%
12-Aug-16,1.2923,1.296,1.3039,1.2905,-0.25%
11-Aug-16,1.2955,1.3006,1.3028,1.2935,-0.43%
10-Aug-16,1.3011,1.3005,1.3096,1.299,0.06%
9-Aug-16,1.3003,1.3041,1.3053,1.2957,-0.28%
8-Aug-16,1.3039,1.3056,1.3098,1.3026,-0.26%
5-Aug-16,1.3073,1.311,1.3178,1.3024,-0.27%
4-Aug-16,1.3108,1.3329,1.3348,1.3104,-1.65%
3-Aug-16,1.3328,1.3357,1.3373,1.328,-0.22%
2-Aug-16,1.3357,1.3182,1.3367,1.3172,1.36%
1-Aug-16,1.3178,1.3234,1.3276,1.3165,-0.40%
29-Jul-16,1.3231,1.3169,1.3305,1.315,0.50%
28-Jul-16,1.3165,1.322,1.3249,1.3117,-0.42%
27-Jul-16,1.3221,1.3132,1.3235,1.3071,0.68%
26-Jul-16,1.3132,1.3139,1.3179,1.306,-0.07%
25-Jul-16,1.3141,1.3112,1.3165,1.3094,0.23%
22-Jul-16,1.3111,1.3236,1.3294,1.3081,-0.93%
21-Jul-16,1.3234,1.3207,1.3276,1.3157,0.18%
20-Jul-16,1.321,1.3111,1.3227,1.3063,0.76%
19-Jul-16,1.3111,1.3255,1.3276,1.3072,-1.09%
18-Jul-16,1.3256,1.3169,1.3313,1.3164,0.49%
15-Jul-16,1.3192,1.3342,1.3481,1.3131,-1.12%
14-Jul-16,1.3342,1.3146,1.3474,1.3106,1.48%
13-Jul-16,1.3147,1.3248,1.3338,1.3132,-0.72%
12-Jul-16,1.3243,1.299,1.3296,1.2969,1.92%
11-Jul-16,1.2994,1.295,1.3018,1.285,0.29%
8-Jul-16,1.2956,1.2909,1.3018,1.2878,0.36%
7-Jul-16,1.291,1.2931,1.3049,1.2874,-0.16%
6-Jul-16,1.2931,1.302,1.303,1.2798,-0.71%
5-Jul-16,1.3023,1.3289,1.3296,1.2999,-2.01%
4-Jul-16,1.329,1.3247,1.334,1.3228,0.21%
1-Jul-16,1.3262,1.3307,1.335,1.3244,-0.37%
30-Jun-16,1.3311,1.3433,1.35,1.3207,-0.86%
29-Jun-16,1.3426,1.3342,1.3535,1.3285,0.63%
28-Jun-16,1.3342,1.3225,1.342,1.3198,0.93%
27-Jun-16,1.3219,1.3564,1.3564,1.3119,-3.37%
24-Jun-16,1.368,1.4872,1.502,1.3226,-8.06%
23-Jun-16,1.4879,1.4706,1.4947,1.47,1.16%
22-Jun-16,1.4708,1.4648,1.4778,1.4644,0.42%
21-Jun-16,1.4647,1.47,1.4783,1.4614,-0.35%
20-Jun-16,1.4699,1.4354,1.4722,1.4354,2.37%
17-Jun-16,1.4358,1.4204,1.4388,1.4196,1.09%
16-Jun-16,1.4203,1.4204,1.4254,1.4012,-0.01%
15-Jun-16,1.4205,1.4116,1.4222,1.4093,0.63%
14-Jun-16,1.4116,1.4274,1.4274,1.4091,-1.09%
13-Jun-16,1.4272,1.4257,1.4327,1.4113,0.10%
10-Jun-16,1.4258,1.446,1.4474,1.4179,-1.39%
9-Jun-16,1.4459,1.4501,1.4528,1.4447,-0.30%
8-Jun-16,1.4502,1.4541,1.46,1.4497,-0.29%
7-Jun-16,1.4544,1.4441,1.4645,1.4435,0.71%
6-Jun-16,1.4442,1.4519,1.4526,1.4356,-0.54%
3-Jun-16,1.452,1.4419,1.4582,1.4398,0.66%
2-Jun-16,1.4425,1.4417,1.4475,1.4405,0.06%
1-Jun-16,1.4416,1.4479,1.4508,1.4386,-0.43%
31-May-16,1.4478,1.4639,1.4724,1.4462,-1.10%
30-May-16,1.4639,1.4624,1.4641,1.4586,0.10%
27-May-16,1.4625,1.4671,1.4693,1.4605,-0.31%
26-May-16,1.467,1.47,1.4744,1.4644,-0.18%
25-May-16,1.4696,1.4636,1.473,1.4601,0.41%
24-May-16,1.4636,1.4488,1.4646,1.4474,1.04%
23-May-16,1.4485,1.4506,1.4551,1.4443,-0.11%
20-May-16,1.4501,1.4611,1.4615,1.4482,-0.76%
19-May-16,1.4612,1.46,1.4666,1.4564,0.11%
18-May-16,1.4596,1.4459,1.4635,1.4401,0.92%
17-May-16,1.4463,1.4398,1.4526,1.4394,0.43%
16-May-16,1.4401,1.4352,1.4421,1.4335,0.27%
13-May-16,1.4362,1.445,1.4458,1.4339,-0.61%
12-May-16,1.445,1.445,1.4534,1.4409,0.01%
11-May-16,1.4448,1.4438,1.4488,1.4394,0.05%
